"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","66.75","$6.44B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","7.46","$612.17M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.625","$28.06M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","21.99","$15.39M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.37","$42.64M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800-FLOWERS.COM, Inc.","14.3","$919.44M","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9","$43.89M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","20","$2.52B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","12.81","$130.48M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","32.84","$838.26M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","14.83","$1.68B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","0.72","$99.98M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","24.26","$1.54B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","7.65","$1.16B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","3.51","$131.61M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"DDD","3D Systems Corporation","7.49","$890.31M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","150.14","$86.37B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","4.42","$190.06M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"JOBS","51job, Inc.","67.29","$4.49B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","51.77","$7.75B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"ETNB","89bio, Inc.","23.05","$317.84M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"JFK","8i Enterprises Acquisition Corp","10.1402","$75.32M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.4","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.6","$53M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.261","$1.5M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","17.62","$1.81B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"EGHT","8x8 Inc","17.62","$1.81B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"JFU","9F Inc.","8.01","$1.55B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AHC","A.H. Belo Corporation","1.49","$31.98M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","40.67","$6.59B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","7.04","$551.06M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AAON","AAON, Inc.","47.44","$2.47B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","18.33","$643.4M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","25.96","$1.73B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","18.24","$38.92B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","89.14","$157.19B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","82.13","$121.28B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","2.6","$217.42M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ANF","Abercrombie & Fitch Company","11.1","$683.73M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.58","$886.75M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","4.16","$94.61M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","5.54","$281.16M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","8.11","$101.78M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","6.01","$52.44M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","4.67","$398.86M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","7.92","$138.06M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.69","$89.69M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.24","$763.32M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABMD","ABIOMED, Inc.","161.35","$7.27B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","30.98","$2.06B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","0.137","$23.07M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","7.51","$539.66M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","67.75","$2.82B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.38","$119.92M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","23.46","$2.08B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","44.93","$6.98B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","13.8","$1.2B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACAM","Acamar Partners Acquisition Corp.","9.89","$377.76M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","11.02","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.5","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.4501","$40.6M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"ACEL","Accel Entertainment, Inc.","8.46","$661.86M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACEL.WS","Accel Entertainment, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acel.ws",
"AXDX","Accelerate Diagnostics, Inc.","9.9","$562.46M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","98.28","$5.24B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","178.1","$113.56B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","5.99","$565.74M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","1.96","$177.32M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.36","$109.36M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","1.98","$19.99M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","0.346","$10.85M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACIW","ACI Worldwide, Inc.","25.32","$2.94B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","1.27","$52.74M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","34.59","$627.33M","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","20.48","$68.65M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","26.27","$227.76M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","1.14","$54.72M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","10.12","$26.12M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"ACTT","Act II Global Acquisition Corp.","9.93","$372.38M","2019","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.59","n/a","2019","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.62","$13.49M","2019","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/acttw",
"ATNM","Actinium Pharmaceuticals, Inc.","0.1966","$32.38M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"ATVI","Activision Blizzard, Inc","63.28","$48.68B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"AYI","Acuity Brands, Inc. ","89.16","$3.53B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","23.48","$1.75B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADMS","Adamas Pharmaceuticals, Inc.","3.28","$91.88M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.375","$27.65M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","13.78","$1.5B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","9.92","$296.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","22.895","$96.97M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"AHCO","AdaptHealth Corp. ","17.58","$1.29B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","3.45","$448.76M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","28.16","$3.56B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADXN","Addex Therapeutics Ltd","8.23","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",
"ADUS","Addus HomeCare Corporation","77.01","$1.2B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.87","$29.97M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","4.16","$487.08M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"IOTS","Adesto Technologies Corporation","11.63","$358.39M","2015","Technology","Semiconductors","https://old.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","1.3203","$13.84M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.2835","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ADNT","Adient plc","11.17","$1.05B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADMA","ADMA Biologics Inc","2.84","$245.22M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","340.765","$164.18B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADT","ADT Inc.","5.71","$4.34B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","26.88","$1.42B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","8.63","$414.96M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","3.23","$260.86M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adro",
"AAP","Advance Auto Parts Inc","115.39","$7.97B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","32.1","$2.89B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","35","$2.41B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","7.08","$129.86M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","52.93","$2.03B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","54.93","$64.31B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ASIX","AdvanSix Inc.","11.78","$328.84M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"ADXS","Advaxis, Inc.","0.663","$39.94M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"AVK","Advent Convertible and Income Fund","12.04","$415.68M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ADVM","Adverum Biotechnologies, Inc.","11.76","$937.05M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","18.455","$23.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","24.3374","$29.2M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","23.974","$31.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","17.1414","$1.71M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","29.7","$95.78M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"ACT","AdvisorShares Vice ETF","20.8103","$9.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act",
"ACM","AECOM","33.61","$5.33B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEGN","Aegion Corp","15.52","$478.07M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","6.15","$178.87M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEFC","Aegon Funding Company LLC","23.26","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","23","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","2.67","$5.48B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AEHR","Aehr Test Systems","1.58","$36.21M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","0.6092","$12.53M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AER","Aercap Holdings N.V.","24.42","$3.21B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AERI","Aerie Pharmaceuticals, Inc.","16.1","$747.5M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"ACY","AeroCentury Corp.","1.59","$2.46M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","43.63","$3.43B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","60.23","$1.45B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","0.57","$23.14M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"AIH","Aesthetic Medical International Holdings Group Ltd.","9.37","$221.25M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","0.895","$17.93M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.51","$14.14M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/aemd",
"AMG","Affiliated Managers Group, Inc.","63.25","$3.03B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","24.5","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFMD","Affimed N.V.","2.14","$163.13M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFL","Aflac Incorporated","37.78","$27.3B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"AFYA","Afya Limited","19.38","$1.74B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"MITT","AG Mortgage Investment Trust, Inc.","3.12","$102.18M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","9.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","9.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","9.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGBA","AGBA Acquisition Limited","10.17","$60.77M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.17","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.22","$61.06M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.06","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGCO","AGCO Corporation","49.86","$3.74B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","0.343","$5.2M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGEN","Agenus Inc.","2.7","$436.29M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGE","AgeX Therapeutics, Inc.","0.83","$31.25M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AGRX","Agile Therapeutics, Inc.","2.32","$201.98M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"A","Agilent Technologies, Inc.","78.83","$24.41B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AGYS","Agilysys, Inc.","18.06","$427.24M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","42.04","$2.88B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","15.26","$332.53M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","11.82","$6.71B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","21.33","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","21.93","$285090","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","20.78","$195.33M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
